Component/Section,Image Description/Name,Recommended Dimensions (px),Aspect Ratio,Current Mock URL
Hero Slider,Banner Slide 1,1920x1080,16:9,https://oleanderfarms.com/wp-content/uploads/2025/01/oleander-farm-banner-1.png
Hero Slider,Banner Slide 2,1920x1080,16:9,https://oleanderfarms.com/wp-content/uploads/2025/01/oleander-farm-banner.png
Hero Slider,Banner Slide 3,1920x1080,16:9,https://oleanderfarms.com/wp-content/uploads/2024/06/Oleander-farm-5349.jpeg
Hero Slider,Banner Slide 4,1920x1080,16:9,https://oleanderfarms.com/wp-content/uploads/2024/06/luxury-resort-karjat-8211-oleander-farm-5356.jpeg
About Us,Palessa Logo Mark / Icon,200x200,1:1,https://oleanderfarms.com/wp-content/uploads/2025/07/CH-Icon-e1751643926951.png.webp
About Us,Gallery Image 1,800x600,4:3,https://oleanderfarms.com/wp-content/uploads/2025/06/Oleander-farm-2.webp
About Us,Gallery Image 2,800x600,4:3,https://oleanderfarms.com/wp-content/uploads/2025/06/Oleander-farm-3.webp
About Us,Gallery Image 3,800x600,4:3,https://oleanderfarms.com/wp-content/uploads/2025/06/Oleander-farm-5.webp
About Us,Gallery Image 4,800x600,4:3,https://oleanderfarms.com/wp-content/uploads/2025/06/Oleander-farm-4.webp
About Us,Gallery Image 5,800x600,4:3,https://oleanderfarms.com/wp-content/uploads/2025/06/Oleander-farm-1.webp
About Us,Gallery Image 6,800x600,4:3,https://oleanderfarms.com/wp-content/uploads/2025/06/Oleander-farm.webp
Rooms & Suites,Standard Rooms,800x600,4:3,https://oleanderfarms.com/wp-content/uploads/2023/05/POOL-VIEW-ROOMS--e1712729225581-780x564.jpeg.webp
Rooms & Suites,Suites,800x600,4:3,https://oleanderfarms.com/wp-content/uploads/2023/05/the-cottages.webp
Amenities,Amenities Background,1920x1080,16:9,https://oleanderfarms.com/wp-content/uploads/2023/05/THE-GROVE-VILLA-5.jpeg
Amenities,29 Boutique Hotel Rooms,800x600,4:3,https://oleanderfarms.com/wp-content/uploads/2023/05/POOL-VIEW-ROOMS--e1712729225581-780x564.jpeg.webp
Amenities,Rooftop Lounge,800x600,4:3,https://oleanderfarms.com/wp-content/uploads/2025/06/lake-view-restro-bar.jpg.webp
Amenities,Global Fusion Restaurant,800x600,4:3,https://oleanderfarms.com/wp-content/uploads/2025/06/infinity-pool.jpg.webp
Amenities,Two Spacious Banquet Halls,800x600,4:3,https://oleanderfarms.com/wp-content/uploads/2024/04/essentials-1-scaled.jpg.webp
Amenities,Concierge Services,800x600,4:3,https://oleanderfarms.com/wp-content/uploads/2025/06/fully-equipped-gym.jpg.webp
Amenities,Travel Desk Assistance,800x600,4:3,https://oleanderfarms.com/wp-content/uploads/2025/06/Oleander-farm-2.webp
Offerings Slider,ECHO BY PALESSA,1200x800,Landscape,https://oleanderfarms.com/wp-content/uploads/2024/04/essentials-1-scaled.jpg.webp
Offerings Slider,O MOON Rooftop Lounge,1200x800,Landscape,https://oleanderfarms.com/wp-content/uploads/2024/04/essentials-scaled.jpg.webp
Offerings Slider,Emerald by Palessa,1200x800,Landscape,https://oleanderfarms.com/wp-content/uploads/2023/05/POOL-VIEW-ROOMS--e1712729225581-780x564.jpeg.webp
Offerings Slider,Pearl by Palessa,1200x800,Landscape,https://oleanderfarms.com/wp-content/uploads/2023/05/the-cottages.webp
Featured Partners,Logo 1,400x150,Transparent PNG,https://oleanderfarms.com/wp-content/uploads/2025/06/elle.webp
Featured Partners,Logo 2,400x150,Transparent PNG,https://oleanderfarms.com/wp-content/uploads/2025/06/femina.webp
Featured Partners,Logo 3,400x150,Transparent PNG,https://oleanderfarms.com/wp-content/uploads/2025/06/grazia.webp
Featured Partners,Logo 4,400x150,Transparent PNG,https://oleanderfarms.com/wp-content/uploads/2025/06/GQ.webp
Featured Partners,Logo 5,400x150,Transparent PNG,https://oleanderfarms.com/wp-content/uploads/2025/06/AD.webp
Featured Partners,Logo 6,400x150,Transparent PNG,https://oleanderfarms.com/wp-content/uploads/2025/06/traveller.webp
Featured Partners,Logo 7,400x150,Transparent PNG,https://oleanderfarms.com/wp-content/uploads/2025/06/curly-tales.webp
